date,symbol,log_return_pred,log_return_actual,signal,strategy_return,position_change,transaction_cost,net_return,cumulative_return
2013-09-17,721001,0.004841228,-0.02341450158591386,1,-0.02341450158591386,0.0,0.0,-0.02341450158591386,0.684205139025668
2013-09-18,721001,-0.0012362436,0.020975475986554994,0,0.0,1.0,0.001,-0.001,0.6835209338866424
2013-09-19,721001,-0.0015166297,0.0,0,0.0,0.0,0.0,0.0,0.6835209338866424
2013-09-20,721001,-0.0025781703,0.007299302481611535,0,0.0,0.0,0.0,0.0,0.6835209338866424
2013-09-23,721001,-0.0010276434,-0.012195273093818243,0,-0.0,0.0,0.0,-0.0,0.6835209338866424
2013-09-24,721001,-0.008752917,0.027829987241220388,0,0.0,0.0,0.0,0.0,0.6835209338866424
2013-09-25,721001,-0.0032137693,-0.009592399691439409,0,-0.0,0.0,0.0,-0.0,0.6835209338866424
2013-09-26,721001,1.3749746e-05,-0.012121360532344963,1,-0.012121360532344963,1.0,0.001,-0.013121360532344962,0.6745522092817107
2013-09-27,721001,-0.00031997808,0.019324272826402842,0,0.0,1.0,0.001,-0.001,0.673877657072429
2013-09-30,721001,0.001361535,0.014252022707201632,1,0.014252022707201632,1.0,0.001,0.013252022707201633,0.6828078990858287
2013-10-01,721001,-0.0071135717,,0,,1.0,0.001,,
2013-10-02,721001,-0.0006603214,,0,,0.0,0.0,,
2013-10-03,721001,-0.0030610103,0.0011897681355887508,0,0.0,0.0,0.0,0.0,0.6828078990858287
2013-10-04,721001,-0.0018815967,-0.0011897681355886845,0,-0.0,0.0,0.0,-0.0,0.6828078990858287
2013-10-07,721001,-0.00020697543,0.0,0,0.0,0.0,0.0,0.0,0.6828078990858287
2013-10-08,721001,0.0050784545,0.02932761509451992,1,0.02932761509451992,1.0,0.001,0.02832761509451992,0.7021502184346299
2013-10-09,721001,-0.0045032776,0.021727555705764047,0,0.0,1.0,0.001,-0.001,0.7014480682161952
2013-10-10,721001,-0.0054846657,,0,,0.0,0.0,,
2013-10-11,721001,-0.0031689494,,0,,0.0,0.0,,
2013-10-14,721001,0.0005065333,-0.017937700686667318,1,-0.017937700686667318,1.0,0.001,-0.01893770068666732,0.6881642546530758
2013-10-17,721001,-0.0029830427,,0,,1.0,0.001,,
2013-10-18,721001,-0.0014729277,,0,,0.0,0.0,,
2013-10-21,721001,-0.00091938884,-0.014815085785140474,0,-0.0,0.0,0.0,-0.0,0.6881642546530758
2013-10-22,721001,-0.0011751174,-0.002298851587110935,0,-0.0,0.0,0.0,-0.0,0.6881642546530758
2013-10-23,721001,-0.0013990783,-0.0011514106050418138,0,-0.0,0.0,0.0,-0.0,0.6881642546530758
2013-10-24,721001,-0.0032515882,,0,,0.0,0.0,,
2013-10-25,721001,-0.0029218795,,0,,0.0,0.0,,
2013-10-28,721001,-0.0026218214,,0,,0.0,0.0,,
