SEANCE;CODE_INDICE;LIB_INDICE;INDICE_JOUR    ;INDICE_VEILLE;VARIATION_VEILLE;INDICE_PLUS_HAUT;INDICE_PLUS_BAS
16/01/2025   ;905004    ;ASSURANCES        ;15027.964           ;15081.446           ;-0.355              ;15269.455           ;15014.196           
16/01/2025   ;905005    ;SERVICES FINANCIER;12610.540           ;12656.992           ;-0.367              ;12656.992           ;12379.626           
16/01/2025   ;905008    ;SERVICES AUX CONSO;3227.136            ;3200.918            ;0.819               ;3227.136            ;3132.261            
16/01/2025   ;905009    ;DISTRIBUTION      ;5084.338            ;5043.033            ;0.819               ;5084.338            ;4934.863            
16/01/2025   ;905013    ;BIENS CONSOMMATION;8220.712            ;8226.722            ;-0.073              ;8226.722            ;7913.264            
16/01/2025   ;905015    ;AGROALIMENT BOISSO;10125.628           ;10136.788           ;-0.110              ;10136.788           ;9640.095            
16/01/2025   ;905016    ;PROD MENAGER SOIN ;2614.495            ;2613.260            ;0.047               ;2631.609            ;2596.492            
16/01/2025   ;905017    ;INDUSTRIES        ;1837.512            ;1848.466            ;-0.593              ;1858.420            ;1796.376            
16/01/2025   ;905018    ;BATIM MATE CONSTRU;822.457             ;832.508             ;-1.207              ;838.631             ;790.141             
16/01/2025   ;905020    ;MATERIAUX DE BASE ;5246.381            ;5247.252            ;-0.017              ;5247.252            ;5047.171            
16/01/2025   ;905028    ;TUNINDEX20        ;4434.689            ;4452.424            ;-0.398              ;4452.424            ;4334.940            
17/01/2025   ;905001    ;TUNINDEX          ;10085.500           ;10061.437           ;0.239               ;10099.588           ;9852.655            
17/01/2025   ;905002    ;STES FINANCIERES  ;7562.561            ;7537.985            ;0.326               ;7579.927            ;7422.694            
17/01/2025   ;905003    ;BANQUES           ;7023.092            ;6998.778            ;0.347               ;7039.394            ;6882.489            
17/01/2025   ;905004    ;ASSURANCES        ;15027.964           ;15027.964           ;0.000               ;15269.455           ;15014.196           
17/01/2025   ;905005    ;SERVICES FINANCIER;12649.528           ;12610.540           ;0.309               ;12656.992           ;12379.626           
17/01/2025   ;905008    ;SERVICES AUX CONSO;3258.246            ;3227.136            ;0.964               ;3258.246            ;3132.261            
17/01/2025   ;905009    ;DISTRIBUTION      ;5133.353            ;5084.338            ;0.964               ;5133.353            ;4934.863            
17/01/2025   ;905013    ;BIENS CONSOMMATION;8188.884            ;8220.712            ;-0.387              ;8226.722            ;7913.264            
17/01/2025   ;905015    ;AGROALIMENT BOISSO;10078.450           ;10125.628           ;-0.466              ;10136.788           ;9640.095            
17/01/2025   ;905016    ;PROD MENAGER SOIN ;2611.048            ;2614.495            ;-0.132              ;2631.609            ;2596.492            
17/01/2025   ;905017    ;INDUSTRIES        ;1841.266            ;1837.512            ;0.204               ;1858.420            ;1796.376            
17/01/2025   ;905018    ;BATIM MATE CONSTRU;819.173             ;822.457             ;-0.399              ;838.631             ;790.141             
17/01/2025   ;905020    ;MATERIAUX DE BASE ;5406.877            ;5246.381            ;3.059               ;5406.877            ;5047.171            
17/01/2025   ;905028    ;TUNINDEX20        ;4445.196            ;4434.689            ;0.237               ;4452.424            ;4334.940            
20/01/2025   ;905001    ;TUNINDEX          ;10080.982           ;10085.500           ;-0.045              ;10099.588           ;9852.655            
20/01/2025   ;905002    ;STES FINANCIERES  ;7561.706            ;7562.561            ;-0.011              ;7579.927            ;7422.694            
20/01/2025   ;905003    ;BANQUES           ;7023.365            ;7023.092            ;0.004               ;7039.394            ;6882.489            
20/01/2025   ;905004    ;ASSURANCES        ;15024.333           ;15027.964           ;-0.024              ;15269.455           ;15014.196           
20/01/2025   ;905005    ;SERVICES FINANCIER;12618.094           ;12649.528           ;-0.249              ;12656.992           ;12379.626           
20/01/2025   ;905008    ;SERVICES AUX CONSO;3260.817            ;3258.246            ;0.079               ;3260.817            ;3132.261            
20/01/2025   ;905009    ;DISTRIBUTION      ;5137.403            ;5133.353            ;0.079               ;5137.403            ;4934.863            
20/01/2025   ;905013    ;BIENS CONSOMMATION;8163.360            ;8188.884            ;-0.312              ;8226.722            ;7913.264            
20/01/2025   ;905015    ;AGROALIMENT BOISSO;10031.115           ;10078.450           ;-0.470              ;10136.788           ;9640.095            
20/01/2025   ;905016    ;PROD MENAGER SOIN ;2616.239            ;2611.048            ;0.199               ;2631.609            ;2596.492            
20/01/2025   ;905017    ;INDUSTRIES        ;1844.392            ;1841.266            ;0.170               ;1858.420            ;1796.376            
20/01/2025   ;905018    ;BATIM MATE CONSTRU;824.301             ;819.173             ;0.626               ;838.631             ;790.141             
20/01/2025   ;905020    ;MATERIAUX DE BASE ;5410.389            ;5406.877            ;0.065               ;5410.389            ;5047.171            
20/01/2025   ;905028    ;TUNINDEX20        ;4443.078            ;4445.196            ;-0.048              ;4452.424            ;4334.940            
21/01/2025   ;905001    ;TUNINDEX          ;10065.779           ;10080.982           ;-0.151              ;10099.588           ;9852.655            
21/01/2025   ;905002    ;STES FINANCIERES  ;7572.461            ;7561.706            ;0.142               ;7579.927            ;7422.694            
21/01/2025   ;905003    ;BANQUES           ;7033.327            ;7023.365            ;0.142               ;7039.394            ;6882.489            
21/01/2025   ;905004    ;ASSURANCES        ;15024.333           ;15024.333           ;0.000               ;15269.455           ;15014.196           
21/01/2025   ;905005    ;SERVICES FINANCIER;12655.332           ;12618.094           ;0.295               ;12656.992           ;12379.626           
21/01/2025   ;905008    ;SERVICES AUX CONSO;3276.393            ;3260.817            ;0.478               ;3276.393            ;3132.261            
21/01/2025   ;905009    ;DISTRIBUTION      ;5161.944            ;5137.403            ;0.478               ;5161.944            ;4934.863            
21/01/2025   ;905013    ;BIENS CONSOMMATION;8103.658            ;8163.360            ;-0.731              ;8226.722            ;7913.264            
21/01/2025   ;905015    ;AGROALIMENT BOISSO;9952.161            ;10031.115           ;-0.787              ;10136.788           ;9640.095            
21/01/2025   ;905016    ;PROD MENAGER SOIN ;2601.787            ;2616.239            ;-0.552              ;2631.609            ;2596.492            
21/01/2025   ;905017    ;INDUSTRIES        ;1832.121            ;1844.392            ;-0.665              ;1858.420            ;1796.376            
21/01/2025   ;905018    ;BATIM MATE CONSTRU;820.125             ;824.301             ;-0.507              ;838.631             ;790.141             
21/01/2025   ;905020    ;MATERIAUX DE BASE ;5352.970            ;5410.389            ;-1.061              ;5410.389            ;5047.171            
